Song Name,Singer,Genre,Duration (seconds),Listeners (million),Songwriter Count,Production Cost (thousand),Albums Made (number)
"Good as Hell","Lizzo","Pop",186,13,1,12,4
"Mr. Brightside","The Killers","Indie Rock",222,17,2,15,2
"Wake Me Up","Avicii","Electronic",248,78,1,11,3
"All Too Well","Taylor Swift","Country",310,983,2,18,3
"Shape of You","Ed Sheeran","Pop",208,14,1,20,1
"Someone Like You","Adele","Pop",285,122,1,9,2
"Despacito","Luis Fonsi ft. Daddy Yankee","Latin Pop",230,228,5,8,1
"See You Again","Wiz Khalifa ft. Charlie Puth","Hip-hop/Rap",224,21,1,19,5
"Bohemian Rhapsody","Queen","Rock",355,15,4,13,3
"Uptown Funk","Mark Ronson ft. Bruno Mars","Funk",270,197,1,16,4
"Rolling in the Deep","Adele","Soul",228,1557,2,14,3
"Closer","The Chainsmokers ft. Halsey","Electronic",191,193,1,10,7
"Thinking Out Loud","Ed Sheeran","Pop",230,172,1,8,5
"Girls Like You","Maroon 5 ft. Cardi B","Pop",240,1312,2,17,4
"Bad Romance","Lady Gaga","Pop",295,1106,4,18,6
"Radioactive","Imagine Dragons","Alternative",188,169,5,12,5
"Old Town Road","Lil Nas X ft. Billy Ray Cyrus","Country",157,1318,6,15,2
"Sicko Mode","Travis Scott","Hip-hop/Rap",312,123,3,11,3
"Thunder","Imagine Dragons","Pop",187,1502,1,20,3
"Stressed Out","Twenty One Pilots","Alternative",202,1524,1,7,4
"Sunflower","Post Malone ft. Swae Lee","Hip-hop/Rap",158,157,1,9,2
"Happier","Marshmello ft. Bastille","Dance",207,1418,2,10,3
"Sucker","Jonas Brothers","Pop",181,1143,1,15,5
"Believer","Imagine Dragons","Pop",204,150,3,19,4
"Photograph","Ed Sheeran","Pop",259,116,1,8,2
"Kiss Me","Ed Sheeran","Pop",263,97,1,11,3
"Shallow","Lady Gaga ft. Bradley Cooper","Country",216,178,1,16,2
"Love Story","Taylor Swift","Country",236,105,2,7,4
"Roses","The Chainsmokers ft. ROZES","Electronic",228,975,1,18,3
"Point Em Out","DaBaby","Hip-hop/Rap",159,67,4,13,2
"Bang Bang Bang","BIGBANG","K-pop",217,203,3,9,4
"Heathens","Twenty One Pilots","Alternative",195,131,1,14,5
"Cheap Thrills","Sia ft. Sean Paul","Dance",211,340,2,15,2
"Counting Stars","OneRepublic","Pop",257,285,4,19,5
"Shots","Imagine Dragons","Pop",204,750,3,19,4
"I See Fire","Ed Sheeran","Pop",259,1161,1,8,2
"I Don’t Care","Ed Sheeran","Pop",263,107,1,11,3
"Poker Face","Lady Gaga","Country",216,78,1,16,2
"Enchanted","Taylor Swift","Country",236,1045,2,2,4
"Don’t Let Me Down","The Chainsmokers ft. ROZES","Electronic",228,975,1,18,3
"Next Song","DaBaby","Hip-hop",159,167,1,13,2
"Haru Haru","BIGBANG","K-pop",217,203,1,9,4
"Doubt","Twenty One Pilots","Alternative",195,731,1,14,5
"Unstoppable","Sia","Pop",211,340,2,15,2
"Good Life","OneRepublic","Pop",257,1245,4,19,5
"Demons","Imagine Dragons","Pop",204,643,1,19,4
"Supermarket Flowers","Ed Sheeran","Pop",259,61,2,8,2
"Galway Girl","Ed Sheeran","Pop",263,497,1,11,3
"Love Game","Lady Gaga","Country",216,878,3,16,2
"Cardigan","Taylor Swift","Country",236,345,2,7,4
"Takeaway","The Chainsmokers ft. ROZES","Electronic",228,975,1,18,3
"Shake Sumn","DaBaby","Hip-hop/Rap",159,367,2,13,2
"Still Life","BIGBANG","K-pop",217,873,1,9,4
"Home Town","Twenty One Pilots","Alternative",195,523,1,14,5
